ID,Town,Website
1,London,http://www.toffsfish.co.uk/menu_takeaway.html
2,London,https://masterssuperfish.com/menu/
3,London,http://www.fishandchipsat.co.uk/takeaway-menu.php
4,London,http://thegoldenchippy.com/menu/
5,London,http://www.seashellrestaurant.co.uk/menu/takeaway-menu/
6,London,https://www.goldenhindrestaurant.com/services.html
7,London,http://www.suttonandsons.co.uk/food-menu/
8,London,http://www.fishouse.co.uk/take-away/
9,London,http://fishbonelondon.co.uk/fishbonemenu.html
10,London,http://www.fishcotheque.co.uk/take-away
11,London,http://mrfish.uk.com/queens-park-menu/queens-park-food-menu/
12,London,http://greatbritishfishnchips.co.uk/our-menu/
13,Birmingham,https://www.seagullfishbarbirmingham.co.uk/menu
14,Birmingham,http://petespan.com/menu.html
15,Birmingham,http://www.frydaysbirmingham.co.uk/?responsive#menu
16,Birmingham,http://www.gabrielsonline.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
17,Birmingham,https://oldswinfordfishandchips.co.uk/our_menu.php
18,Birmingham,http://www.balichippy.co.uk/?responsive#menu
19,Birmingham,https://www.donya.co.uk/menu
20,Birmingham,http://www.classicfishbarbirmingham.co.uk/#menu
21,Birmingham,https://taksfishbar.com/Menu
22,Birmingham,http://www.lecodfather.co.uk/?responsive#menu
23,Birmingham,http://www.ililala.co.uk/tugs/menu/mainmenu
24,Birmingham,https://oliversfishbar.com/our_menu.php
25,Glasgow,http://www.thekentchipshopglasgow.co.uk/menu
26,Glasgow,http://www.gsfishandchipsglasgow.co.uk/?responsive#menu
27,Glasgow,http://www.catchfishandchips.co.uk/catch-netherlee.html
28,Glasgow,http://www.neptunefishbarglasgow.co.uk/?responsive#menu
29,Glasgow,http://www.philadelphiafishchickenbar.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
30,Glasgow,http://www.alpinosfishnchips.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
31,Glasgow,http://www.annsfrygorbals.co.uk/menu
32,Glasgow,http://www.kadirsfishandchips.co.uk/#menu
33,Glasgow,http://www.mariosfastfoods.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
34,Glasgow,http://www.marinismountflorida.co.uk/menu
35,Glasgow,http://www.peterschippie.co.uk/#menu
36,Glasgow,http://www.gennarosfishandchips.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
37,Glasgow,http://www.goldenfry-g41.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
38,Glasgow,http://www.kingschippy.co.uk/?responsive#menu
39,Glasgow,http://www.criterionglasgow.co.uk/menu
40,Leeds,https://www.theskyliner.co.uk/menu-outsales/
41,Leeds,http://www.originalnashs.co.uk/Takeaway.html
42,Leeds,http://www.atlantisfnc.co.uk/menu/
43,Leeds,https://shadwellvillagefishshop.wordpress.com/menu/
44,Leeds,http://www.popsiesofbramhope.co.uk/
45,Leeds,http://www.royalfisheriesleeds.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
46,Leeds,https://www.wetherbywhaler.co.uk/our-restaurants/guiseley/menu/
47,Leeds,http://parkfisheries.atspace.co.uk/menu.html
48,Leeds,http://www.croftstreetfisheries.co.uk/about-us/on-the-menu/
49,Leeds,http://www.nazmazpizzaandcurryjunction.co.uk/#menu
50,Leeds,https://fortunefisheries.co.uk/our_menu.php
51,Leeds,http://www.philsfishbar.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
52,Leeds,http://www.hartleysfishandchips.co.uk/horsforth/#menu
53,Bristol,http://www.soul-fish.uk/
54,Bristol,http://crispies1.co.uk/menu/
55,Bristol,http://www.chandosfishbar.com/our-menu/
56,Bristol,http://www.angelosfishbar.co.uk/?responsive#menu
57,Bristol,http://www.fishminster.co.uk/menu.html
58,Bristol,http://www.dolphinfishbar-bs34.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
59,Liverpool,http://www.byrnesfishandchips.co.uk/menu
60,Liverpool,http://www.thefamousbluestar-online.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
61,Liverpool,https://tropicana-fish-bar.co.uk/Menu
62,Liverpool,http://www.oceanfoodbar.co.uk/img/Ocean-Food-Bar-2017.pdf
63,Liverpool,http://www.kcfishandchips.co.uk/#menu
64,Liverpool,http://www.deborahs-golden-fry.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
65,Manchester,http://www.leosfishbar.co.uk/menu/
66,Manchester,https://kingfishernq.com/menu/
67,Manchester,https://thecornerplaice.com/new-menu/
68,Manchester,http://www.thevillagechipshop.co.uk/
69,Manchester,http://www.billystraditionalfishandchips.co.uk/#menu
70,Manchester,https://www.unclebs.co.uk/restauracja/uncle-b-s
71,Manchester,http://farrells-fish-chips.business.site/
72,Manchester,http://www.homeofthejumbocod.com/download/i/mark_dl/u/4013534614/4633212400/website%20menu%20pdf.pdf
73,Manchester,http://www.royalcod.co.uk/#menu-item-2700
74,Manchester,http://www.lighthousefishbar.com/menu
75,Manchester,https://michael-fish-and-chips.co.uk/menu
76,Manchester,https://panys.co.uk/menu
77,Sheffield,http://poseidonfishbar.co.uk/menu/
78,Sheffield,http://www.thejollyfriar.co.uk/1_5_menu.html
79,Sheffield,http://www.frymaster.co.uk/FryMaster%20Takeaway%20Menu%202018.pdf
80,Sheffield,http://www.trawlerscatch.co.uk/menu-1.html
81,Sheffield,http://www.wincobankfishbar.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
82,Sheffield,http://www.whitbysrestaurant.co.uk/takeaway-menu/
83,Sheffield,http://www.jacksplaceonline.co.uk/#menu
84,Sheffield,http://ballifieldfry.co.uk/menu.html
85,Edinburgh,http://www.dolphinedinburgh.co.uk/menu
86,Edinburgh,http://www.ginos-fishandchip-shop.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
87,Edinburgh,http://www.thecityrestaurant.co.uk/menus/
88,Edinburgh,http://www.giovannisedinburghonline.co.uk/menu
89,Edinburgh,http://www.thegorgiefishbar.co.uk/?responsive#menu
90,Edinburgh,http://www.deepseaedinburgh.co.uk/menu
91,Edinburgh,http://www.corbie-edinburgh.co.uk/#menu
92,Edinburgh,http://benes.co.uk/benes-fish-and-chips-menu/
93,Edinburgh,http://www.salvatoresedinburgh.co.uk/menu
94,Edinburgh,http://www.thegoldseatakeaway.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
95,Edinburgh,http://www.angelostakeawayedinburgh.co.uk/?responsive#menu
96,Edinburgh,http://www.lacampagnola-edinburgh.co.uk/menu
97,Edinburgh,http://sites.kukd.com/kingfisher-edinburgh/menu
98,Edinburgh,http://www.granton.javitstakeaway.com/menu
99,Cardiff,http://www.youngersfishbar.com/youngers-fish-bar-menu/
100,Cardiff,http://www.capitalfishbarcardiff.co.uk/#menu
101,Cardiff,https://rumneyfishbar.co.uk/menu
102,Cardiff,http://www.elliesfishandchips.co.uk/
103,Cardiff,http://www.prontopizzacf5.co.uk/traditional-fish-&-chips
104,Cardiff,http://sites.kukd.com/fishandthings-cardiff/menu
105,Leicester,https://www.frydales.co.uk/our-menu/
106,Leicester,https://oadby-chippy.co.uk/Menu
107,Leicester,http://grimsbyfisheries.co.uk/menu
108,Leicester,http://www.braunstonechippie.co.uk/menu.htm
109,Leicester,http://www.danisfishbar.co.uk/#menu
110,Leicester,https://www.ujustcook-login.com/ordering/restaurant/menu?restaurant_uid=246ceb8d-67ac-49ec-9ddc-e466c485c269&glfa_cid=1796354792.1525778705&glfa_t=1525782657030
111,Leicester,http://www.bucks2chippyle2.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places#menu
112,Leicester,http://www.beaconfishbar.co.uk/#menu
113,Leicester,http://www.thejollyfryercurryhouse.co.uk/#menu
114,Stoke-on-Trent,http://mothertownfishandchips.co.uk/menu
115,Stoke-on-Trent,http://www.codsplaiceonline.co.uk/#menu
116,Stoke-on-Trent,https://www.costascatchoftheday.co.uk/menu/
117,Stoke-on-Trent,https://fishloungeonline.co.uk/our_menu.php
118,Stoke-on-Trent,https://claytonfishandchips.com/our_menu.php
119,Stoke-on-Trent,http://www.abbots-fish-fryer.co.uk/#menu
120,Stoke-on-Trent,http://www.chippylicious.com/Menu.html
121,Bradford,https://www.towngatefisheries.co.uk/about-us/our-menu/
122,Bradford,http://www.highgate-fisheries.co.uk/#menu
123,Bradford,https://statusfisheries.co.uk/our_menu.php
124,Bradford,http://itsabigcatch.co.uk/#menu
125,Bradford,https://auntbettysonline.com/our_menu.php
126,Bradford,http://www.paradefisheries.co.uk/
127,Bradford,https://springsonline.co.uk/our_menu.php
128,Bradford,http://www.baildonfisheries.co.uk/expanded-menu/
129,Coventry,http://www.seaspray-fishnchips.co.uk/#menu
130,Coventry,http://www.thelongfordfishbar.co.uk/?responsive#menu
131,Coventry,http://www.skybluepizza.co.uk/menu
132,Coventry,https://www.yummytakeaways.co.uk/pizza4ucoventry/menu.html
133,Coventry,http://www.seven-fishnchips.co.uk/#menu
134,Coventry,https://www.appaway.eu/menu/1323
135,Nottingham,https://www.codsscallops.com/our-menu/
136,Nottingham,https://jaysfishbar.co.uk/#/menu
137,Nottingham,http://www.papusfishandchips.com/storemenu
138,Nottingham,http://www.panchosfishbar.co.uk/#menu
139,Nottingham,https://billysfishbar.com/our_menu.php
140,Nottingham,https://aspleyfishbar.com/our_menu.php
141,Nottingham,https://georgiosonline.co.uk/our_menu.php
142,Nottingham,http://www.ruddingtonfishbar.co.uk/fish-chip-menu
143,Nottingham,http://www.qualityfishbarpizzasalsa.co.uk/#menu
144,Nottingham,https://royalfishbaronline.com/our_menu.php
145,Nottingham,https://www.codsscallops.com/our-menu/
146,Nottingham,https://theanchorfishbar.com/our_menu.php
147,Nottingham,http://www.thewoldsfishbar.co.uk/menu
148,Kingston upon Hull,http://www.eastparkchippy.co.uk/fish-bar-menu
149,Kingston upon Hull,https://www.downsfishandchips.co.uk/menu
150,Kingston upon Hull,http://www.thefunkyfishandchips.co.uk
151,Kingston upon Hull,http://www.smithyschippy.co.uk/
152,Kingston upon Hull,http://www.thefishandchipkitchen.co.uk/menu/
153,Belfast,http://www.fuscostwinbrook.co.uk/menu
154,Belfast,http://www.feeleys.co.uk/menu
155,Belfast,http://www.simplyfishandchips.co.uk/menu
156,Belfast,https://app.orderonchef.com/resto~chip-co-botanic~OTg=
157,Belfast,http://www.brownsfishchips.co.uk/#menu
158,Belfast,https://www.ritchiesofcastlereagh.co.uk/order#/restaurant/4292/collection/3281
159,Belfast,http://www.thechipbar.co.uk/menu
160,Belfast,http://www.scoffsfishandchips.co.uk/#menu
161,Belfast,http://www.montecarlobelfast.co.uk/menu
162,Belfast,https://fish-city.com/takeaway-menu
163,Belfast,http://sites.kukd.com/the-fryar-tuck-belfast/menu?
164,Belfast,https://atlantic.iwantfed.com/
165,Newcastle,http://www.gosforth-fishandgrill.co.uk/fish-chips
166,Newcastle,https://gillswalker.com/shop/
167,Newcastle,https://gillschippy.co.uk/Menu
168,Newcastle,https://westgatefishandgrill.com/our_menu.php
169,Newcastle,http://www.thefishinnshiremoor.co.uk/menu.php
170,Newcastle,http://www.unclets.co.uk/menu.html
171,Newcastle,http://viewmenu.letsorderfood.co.uk/?inorder=1
172,Newcastle,https://howdonchippy.co.uk/shop/
173,Newcastle,http://www.topfellas.co.uk/menu/fish-chips/
174,Newcastle,http://delivery.pantrinis.co.uk/
175,Newcastle,https://frydaysgateshead.com/our_menu.php
176,Sunderland,http://www.tastini.uk/#/order/6161
177,Sunderland,http://dhillonsfishinn.uk/product-category/dhillons-delicious-assorted-menu/
178,Sunderland,http://www.clems.org.uk/?page_id=702
179,Sunderland,http://torrensfishbar.co.uk/restaurant/menu/the-torrens#!/menu
180,Sunderland,https://feedmeonline.co.uk/takeaways/Sunderland/SR5/robs-fish-bar/menu/?custom=1
181,Sunderland,http://seaham-chippy.co.uk/Menu
182,Brighton,http://www.bardsleys-fishandchips.co.uk/takeaway
183,Brighton,https://dinner2go.co.uk/brighton/fish-and-chips/preston-fish-bar
184,Brighton,http://surefry.co.uk/
185,Brighton,http://www.seasiders.org.uk/menu
186,Brighton,http://thebestfishandchips.touchtakeaway.net/menu
187,Aberdeen,https://tobuyfishandchips.com/our_menu.php
188,Aberdeen,https://www.lowstraditional.com/menu
189,Aberdeen,http://www.moirchipshopaberdeen.co.uk/menu
190,Dundee,https://joesfishbar.co.uk/our_menu.php
191,Dundee,https://thevictor-fishbar.co.uk/Menu
192,Dundee,http://www.frankiesfs.co.uk/menu/
193,Dundee,https://www.deniros-dundee.co.uk/takeaway/menus.php
194,Dundee,http://www.tonystakeaway.co.uk/takeaway/menus.php
195,Dundee,https://kohenoordundee.com/our_menu.php
196,Inverness,http://www.maxs2inverness.com/storemenu
197,Inverness,http://www.thefriaryfishandchips.co.uk
198,Dumfries,http://palmerstoncafe.com/menus/
199,Dumfries,http://www.marmaristakeawaydumfries.com
200,Dumfries,https://dantesfishandchips.co.uk/our_menu.php
201,Dumfries,https://benvenutoonline.co.uk/our_menu.php
202,Dumfries,https://www.noblehillcafe.co.uk/menu
203,Middlesbrough,https://bhpizzeriachippy.co.uk/our_menu.php
204,Middlesbrough,https://debbieandrachelsplaice.com/menu/
205,Middlesbrough,https://goldenbelltakeaway.wixsite.com/screen/menu
206,Durham,http://www.maguiresfishandchips.co.uk/#menu
207,Durham,https://westgatefishandgrill.com/our_menu.php
208,Durham,http://www.starbeckfishandchips.co.uk/#menu
209,Durham,http://www.benshamfishbar.co.uk/#menu
210,Durham,http://www.gillsgoldenfishandchipsonline.co.uk/#menu
211,Durham,http://www.tonysgoldenfish.co.uk/#menu
212,Penrith,https://www.thelittlechippypenrith.co.uk/our-menu/
213,Penrith,https://www.angellanechippie.com/take-away-menu
214,Penrith,http://www.sandgatefriery.co.uk/menu
215,Ayr,http://www.theluckystarayr.co.uk/menu
216,Ayr,http://www.marcosayr.co.uk/food-menu/
217,Ayr,https://orlandos-ayr.co.uk/Menu
218,Ayr,http://dinostakeaway-ayr.co.uk/cgi-bin/snippet.cgi?todo=as_page;instance=5105840;num=1;community_id=1363484
219,Ayr,http://www.unosmossblown.co.uk/menu
220,Kendal,http://www.frydaysofkendal.com/menu/
221,Carlisle,https://warwickfishandchips.com/our_menu.php
222,Carlisle,https://homeandawayonline.com/our_menu.php
223,Carlisle,https://oktaysfishandchips.co.uk/our_menu.php
224,Carlisle,https://www.orderchinese.co.uk/takeaway-sunny-carlisle/
225,Swansea,http://www.rossisoriginal.co.uk/#menu
226,Swansea,http://hikarysfishbar.com/menu
227,Cardiff,https://sites.google.com/a/pulse.me.uk/parclanefishandchips/menu
228,Cardiff,http://www.elliesfishandchips.co.uk
229,Cardiff,http://pagesfishandchips.com/#menu
230,Plymouth,http://topshopfishandchips.co.uk/our-menu/
231,Plymouth,http://www.perillasfishandchips.co.uk/Restaurant
232,Falmouth,https://www.marinerstakeaway.com
233,Falmouth,http://www.thegemfishbar.co.uk/
234,Falmouth,http://www.penmerefishbar.co.uk/pages/menu-r.html
235,Exeter,http://www.sidwellfishandchips.co.uk/#menu
236,Exeter,http://www.newjumbotakeaway.co.uk/#menu
237,Cambridge,https://oceandragononline.co.uk/our_menu.php
238,Cambridge,http://www.mrchippypizzacb5.co.uk/#menu
239,Norwich,https://heartseaseohyes.com/our_menu.php
240,Norwich,http://gofish.menu/#menu
241,Ipswich,http://www.frydayschippies.co.uk/
242,Ipswich,http://www.starfishipswich.co.uk/page2.html
243,Ipswich,https://www.nelsons-fishandchips.co.uk/menu
244,Londonderry Derry,https://www.brendanstakeaway.co.uk