city,coordination
London,"51.51279, -0.09184"
Birmingham,"52.48142, -1.89983"
Glasgow,"55.86515, -4.25763"
Leeds,"53.79648, -1.54785"
Bristol,"51.45523, -2.59665"
Liverpool,"53.41058, -2.97794"
Manchester,"53.48095, -2.23743"
Sheffield,"53.38297, -1.4659"
Edinburgh,"55.95206, -3.19648"
Cardiff,"51.48, -3.18"
Leicester,"52.6386, -1.13169"
Stoke-on-Trent,"53.00415, -2.18538"
Bradford,"53.79391, -1.75206"
Coventry,"52.40656, -1.51217"
Nottingham,"52.9536, -1.15047"
Kingston upon Hull,"53.7446, -0.33525"
Belfast,"54.58333, -5.93333"
Newcastle,"54.97328, -1.61396"
Sunderland,"54.90465, -1.38222"
Brighton,"50.83333, 0.13333"
Aberdeen,"57.14369, -2.09814"
Dundee,"56.46913, -2.97489"
Inverness,"57.47908, -4.22398"
Dumfries,"55.07216, -3.60218"
Middlesbrough,"54.57309, -1.23258"
Durham,"54.77560, -1.58374"
Penrith,"54.66411, -2.75257"
Ayr,"55.45862, -4.62849"
Kendal,"54.32822, -2.74565"
Carlisle,"54.89228, -2.93206"
Swansea,"51.62125, -3.94490"
Plymouth,"50.37771, -4.14082"
Falmouth,"50.15201, -5.06654"
Exeter,"50.71936, -3.53271"
Cambridge,"52.20765, 0.13200"
Norwich,"52.63220, 1.28925"
Ipswich,"52.05834, 1.15472"
Londonderry Derry,"54.99620, -7.30237"