word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio,regional
macaroni cheese,5,-3.7799234318583403,55.93092336260679,169758.70263531906,132613.41,8,8,169758.7,112406.65,1,Y
naan,6,-1.478469056761547,52.892243637819305,168602.98847844143,113572.17,7,4,170675.73,119276.01,1,Y
meaty,5,-1.8744086683503725,53.120798549674156,134012.80468090676,121303.08,2,3,206995.39,125354.82,1,N
macaroni,3,-4.105715315411458,55.898229047242125,169772.26598941657,104381.16,4,2,169772.27,97424.59,1,N
pizza supper,5,-3.9054859587833537,55.85985546454486,112776.3099129982,112776.31,20,4,327577.67,144036.48,0.96,Y
hamburger,6,-3.7092862106433246,55.82011962407017,147124.56129516443,135850.92,21,4,469952.24,169857.64,0.96,Y
pudding supper,5,-3.631624555559054,55.942725307324174,128093.14155835896,128093.14,18,3,296244.82,143005.39,0.95,Y
pie supper,6,-3.811548179086128,55.89163004173215,148212.05148422174,136441.82,24,3,495814.79,200706.58,0.93,Y
inferno,6,-1.6522116249577854,54.852123581145676,142523.99664823795,51419.86,8,3,351006.1,106133.88,0.91,Y
chicken meat,9,-1.6892064726320757,52.71441447558866,278226.737020769,76754.19,18,9,387832.73,145314.06,0.89,Y
chicken supper,5,-4.850669480465691,55.235134535539935,174323.5560937468,142402.52,4,5,231814.24,147809.92,0.89,N
stagioni,5,-3.3896331899600938,55.53585300052435,225903.56565172056,116351.41,4,4,392202.15,182609.89,0.88,N
vegetable pakora,9,-3.533338668503865,56.0184142802829,306052.7231068383,230745.54,21,5,698036.42,278786.63,0.85,Y
supper,9,-3.920501973924259,55.76792555830046,321414.2501833731,174982.6,32,9,477595.93,226174.54,0.85,Y
bru,8,-3.541296268865239,55.93407226502463,292013.4014515054,219186.03,31,6,682927.3,268852.95,0.84,Y
pakora,10,-3.5375661107048693,55.94499562776992,470559.14514948725,253470.33,25,5,684760.5,296145.23,0.83,Y
milano,5,-2.492503012376824,54.94690946677974,125757.9231293424,123728.3,3,3,243444.46,128151.96,0.83,N
haggis,11,-3.3594928110575,55.572721710775056,251155.99735245065,183411.68,40,17,396689.07,189124.94,0.82,Y
chicken breast supper,5,-4.102332242103732,55.75059220716372,305117.6812891453,190393.02,11,4,358100.38,198090.12,0.8,Y
cheese tomato,6,-2.13021992511032,55.02846199595982,287869.6721372401,154795.64,11,3,383246.01,186183.26,0.79,Y
singapore chow mein,2,-3.1172749492672156,52.73814565727885,365432.19277148583,245426.72,3,1,365432.19,245426.72,0.75,N
cheeseburger quarter pounder,7,-1.4847420388525527,53.562132335422575,230778.52852765986,119065.52,5,6,424716.19,159028.49,0.73,Y
cheeseburger quarter pounder,7,-1.4847420388525527,53.562132335422575,230778.52852765986,119065.52,5,6,424716.19,159028.49,0.73,Y
pasty,12,-1.4527860003656632,52.50441804654591,301064.0701901974,173222.96,12,6,347700.13,170716.99,0.72,Y
mince,15,-3.117781410731326,55.5246793963009,375354.67821399454,224377.98,28,10,737376.91,270514.5,0.71,Y
funghi,9,-2.2004831507115665,54.81863859589106,247986.6654123981,117539.13,7,7,247986.67,139366.94,0.71,Y
pitta salad,5,-1.44950514133699,54.54789116854534,301692.9954057662,83994.09,4,3,359524.43,172112.65,0.71,N
pancake roll,5,-0.4853237556759338,52.49676473689463,199011.75833760772,111827.24,6,4,300780.15,154906.21,0.7,N
nuggets,11,-1.5192335985746215,52.920184388783234,404109.3491423378,163306.08,9,7,541036.54,202453.31,0.69,N
shop,11,-2.1108617190224512,54.46795971158123,643175.5194075295,217089.98,10,6,851725.39,304131.68,0.69,N
king,16,-3.1892712564438432,55.33060377575437,558328.7190380803,286676.38,34,13,975188.18,369291.55,0.68,N
pudding,16,-3.3417162428100626,55.58021801983014,609942.0137195664,296763.42,50,14,843290,325409.94,0.67,N
cheese ham,3,-3.5267929576519035,55.4798350406948,548445.9992353837,205958.94,4,2,548446,288551.77,0.67,N
smartphone,2,-4.933024237668395,54.68659226157566,226005.29676245415,169494.76,2,1,226005.3,169494.76,0.67,N
eye,2,-0.5772669315777034,52.27379064282073,301579.99263142236,224471.81,2,1,301579.99,224471.81,0.67,N
cuisines,2,-2.551962119232173,52.81434286671825,251697.4644344235,190071.6,2,1,251697.46,190071.6,0.67,N
spring roll,16,-1.8619888150910968,53.24847703227912,539992.4066565882,192751.43,20,13,568266.13,239625.42,0.64,N
site,11,-1.7441512719401369,53.367461810676446,385036.56275358633,150921.48,8,6,504138.01,212017.74,0.64,N
pasties,14,-1.8689040220012514,52.475994237254014,369152.6130522086,214503.06,21,9,599784.31,210251.57,0.63,Y
fisheries,5,-1.199946752199655,53.46322851703747,316608.3061321359,152737.81,5,3,573585.15,240736.43,0.63,N
pop,16,-1.6297081292853333,53.76776211069399,252378.31080830464,201645.01,24,11,756538.22,220406.18,0.63,Y
inch chicken,11,-2.1103920429918053,54.559464745887055,522827.5407007174,320377.63,9,6,626911.73,307574.34,0.6,N
wings,17,-1.8405636674733596,52.88773710072608,629029.654777106,252141.42,15,11,933810.21,300192.81,0.58,N
cod roe,15,-1.0847746963171285,52.400232178345746,495390.7267179799,239377.62,24,9,596499.28,238907.52,0.58,Y
onion pie,22,-1.9173349073197605,52.96484705438057,442354.0961001112,278026.55,24,15,613127.1,262704.42,0.56,N
request,8,-1.7944591619934096,53.90653991363895,300339.82580158574,182884.16,4,5,611381.77,212146.28,0.56,N
inch pizzas,6,-2.0447340161173004,54.01631906812567,222107.73674884634,192179.92,4,6,451494.43,216744.16,0.5,N
family feast,7,-1.9918067346478467,54.11828166147857,380264.58850631025,209697.57,5,5,472104.57,235856.43,0.5,N
inch pizzas,6,-2.0447340161173004,54.01631906812567,222107.73674884634,192179.92,4,6,451494.43,216744.16,0.5,N
custard,6,-1.4827598875503616,53.750814331162545,438330.65550260746,159149.68,4,4,438330.66,172109.94,0.5,N
postcode,18,-1.8783676385859307,53.87162125364352,520416.1232907865,220002.79,18,14,643407.96,280614.6,0.47,N
meat feast,19,-2.308618542484589,54.35451833553105,482859.6418496801,326240.41,18,21,551837.39,296593.06,0.31,N
chips,38,-2.2126389838048226,53.718375500733885,585830.483920963,341519.19,122,98,773868.35,350846.6,0.3,N
chicken wings,24,-2.553085383900618,53.79660889208482,569811.0262624593,399239.7,23,23,749524.35,360710.78,0.28,N
pizza,28,-2.6139159619639676,54.7598046585967,590014.0089826761,312576.89,61,34,784622.6,345248.66,0.27,N
burger,38,-2.296231304717472,53.823533190872695,607684.5553612473,341076.18,82,61,752248.4,352780.52,0.22,N
kidney pie,23,-1.793136123373133,52.478104872501916,369551.5539061368,243952.01,32,15,551203.51,251945.1,0.49,Y